220831-110649,5.5099
220831-110733,5.51
220831-110817,5.51
220831-110855,5.51
220831-111029,5.51
220831-111252,5.51
220831-111313,5.51
220831-112607,5.51
220831-114635,5.51
220831-114657,5.51
220831-114726,5.51
220831-114800,5.51
220831-124700,5.51
220831-124952,5.51
220831-125000,5.51
220831-125016,5.51
220831-125042,5.51
220831-144123,5.5
220831-154700,5.5
220831-164124,5.48
220831-184123,5.46
220901-095811,5.44
220901-100014,5.44
220901-102552,5.44
220901-103322,5.44
220901-103426,5.44
220901-103730,5.45
220901-122726,5.45
220901-124523,5.45
220901-160912,5.46
220902-030222,5.43
220902-033212,5.44
220902-094045,5.45
220902-124048,5.46
220902-142627,5.44
220902-142650,5.44
220902-142735,5.44
220902-142745,5.44
220902-171047,5.43
220902-172329,5.43
220902-210222,5.46
220902-222708,5.48
220910-223325,5.4
220910-224123,5.4
220911-003320,5.4
220911-004124,5.4
220911-150942,5.39
220911-151526,5.39
220911-163320,5.41
220911-164124,5.41
220911-171529,5.41
220911-183325,5.41
220911-184132,5.41
220911-191536,5.4
220911-220123,5.4
220911-223320,5.4
220911-224123,5.4
220912-094126,5.41
220912-124132,5.4
220916-124337,5.39
220916-124936,5.39
220916-153845,5.39
220916-154440,5.39
220916-163320,5.39
220916-164123,5.39
220916-164928,5.39
220916-171525,5.39
220916-174440,5.38
220916-175514,5.38
220916-183323,5.37
220916-184124,5.37
220916-184937,5.37
220916-191541,5.37
220916-194445,5.38
220921-103535,5.44
220921-103611,5.44
220921-103720,5.44
220921-103734,5.44
220921-103805,5.44
220921-103827,5.44
220921-103849,5.44
220921-104453,5.44
220921-104959,5.44
220921-124148,5.43
220921-134601,5.43
220921-144032,5.44
220921-144124,5.44
220921-154044,5.44
220921-184046,5.48
220921-214046,5.46
220922-004048,5.5
220922-034048,5.42
220922-064049,5.46
220922-094048,5.48
220922-132653,5.47
220922-144123,5.47
220922-164124,5.45
220922-184125,5.48
220923-120654,5.41
220923-124124,5.45
220923-125621,5.45
220923-155620,5.4
220923-185620,5.4
220923-215620,5.44
220924-005620,5.42
220924-093050,5.41
220925-163344,5.43
220925-205657,5.43
220925-221519,5.43
220925-222404,5.43
220925-224130,5.43
220926-011524,5.4
220926-041524,5.2
220926-102404,5.21
220926-104124,5.27
220926-121309,5.28
220926-121610,5.28
220926-121747,5.28
220926-122403,5.28
220926-144750,5.33
220926-145335,5.33
220926-151750,5.36
220926-162405,5.33
220926-164127,5.32
220926-165336,5.32
220926-182403,5.28
220926-202403,5.28
220926-204147,5.28
220927-095734,5.31
220927-111337,5.35
220927-141340,5.34
220927-194501,5.34
220927-195039,5.34
220927-201340,5.34
220927-202402,5.34
220927-204123,5.34
220927-212434,5.36
220927-215039,5.39
220927-231340,5.35
220928-021340,5.35
220928-051340,5.34
220928-081340,5.35
220927-171340,5.34
220928-111340,5.38
220928-115041,5.39
220928-122403,5.39
220928-141340,5.32
220928-171340,5.38
220928-172256,5.38
220928-175052,5.38
220928-182408,5.39
220928-184127,5.38
220928-185340,5.38
220928-192303,5.39
220928-195043,5.38
220928-202412,5.37
220928-204130,5.38
220928-205337,5.38
220928-212303,5.38
220929-084832,5.38
220929-114846,5.45
220929-132304,5.43
220929-162309,5.42
220929-185317,5.39
220929-205319,5.49
220930-072700,5.5
220930-072821,5.5
220930-091315,5.51
220930-103706,5.52
220930-133709,5.49
220930-172806,5.51
221001-153838,5.47
221001-165319,5.47
221001-173841,5.53
221001-220040,5.47
221001-220258,5.47
221002-120848,5.53
221002-122907,5.53
221002-123535,5.53
221002-143732,5.47
221002-185315,5.47
221002-185405,5.47
221002-193841,5.47
221002-205316,5.47
221002-205359,5.47
221002-213838,5.47
221002-225315,5.47
221002-225358,5.47
221002-233837,5.53
221003-095849,5.54
221003-125853,5.52
221003-135042,5.54
221003-135136,5.54
221003-230313,5.56
221004-092339,5.54
221004-094037,5.56
221004-094454,5.56
221004-100031,5.56
221004-130034,5.53
221004-155023,5.55
221004-160034,5.55
221004-165320,5.51
221004-173842,5.51
221004-175010,5.51
221004-200229,5.53
221004-215433,5.46
221005-100053,5.52
221005-130057,5.53
221005-144123,5.49
221005-160057,5.49
221005-164124,5.52
221006-093628,5.52
221006-123634,5.53
221006-153633,5.56
221006-171723,5.56
221006-223709,5.57
221006-235813,5.57
221007-005926,5.61
221007-010856,5.61
221007-012256,5.61
221007-021710,5.57
221007-100010,5.57
221007-130014,5.57
221007-170000,5.53
221007-182512,5.52
221007-182929,5.52
221007-184124,5.57
221007-202930,5.52
221007-204126,5.53
221007-212516,5.53
221008-002516,5.53
221008-032517,5.55
221008-062515,5.54
221008-092516,5.53
221008-122516,5.53
